Name,Year,Duration,Genre,Rating,Votes
Aadmi,1968,175,"Drama, Romance",6.8,196
Aadmi,1993,153,"Action, Crime, Drama",6.5,97
Aadmi Aur Apsara,1991,142,Fantasy,6.7,66
Aadmi Aur Insaan,1969,168,"Drama, Romance, Thriller",6.2,149
Aadmi Khilona Hai,1993,158,"Drama, Romance",5,142
Aadmi Ki Aurat Aur Anya Kahaniya,2009,78,Drama,7.6,62
Aadmi Sadak Ka,1977,138,"Drama, Family",5.4,34
Aadupuliyattam,2016,145,Horror,4.2,266
Aafat,1977,148,"Crime, Drama",5.3,17
Aag,1948,138,"Musical, Romance",7.4,357
Aag,1994,139,"Action, Comedy, Drama",4.6,227
Aag Aur Chingari,1994,133,Action,4.1,13
Aag Hi Aag,1987,170,Action,5.3,93
Aag Ka Gola,1990,180,"Action, Drama",4.8,101
Aag Ka Toofaan,1993,137,Action,4.8,21
Aag Ke Sholay,1988,138,"Action, Thriller",3.4,7
Aag Se Khelenge,1989,151,Action,5,52
Aage Maut Peeche Maut,2001,78,Horror,3.1,7
Aagey Se Right,2009,117,"Comedy, Crime, Drama",5,381
Aaghaaz,2000,153,"Action, Crime, Drama",4.2,274
Aah,1953,150,"Drama, Musical, Romance",7.2,275
Aahuti,1978,135,"Action, Drama",6,25
Aaina,1993,149,"Drama, Romance",6,448
Aaina,1977,150,Drama,6.8,94
Aaj,1987,116,Drama,5.5,281
Aaj Aur Kal,1963,144,"Drama, Romance",5.6,52
Aaj Ka Andha Kanoon,2003,46,Action,3.1,15
Aaj Ka Arjun,1990,164,"Action, Crime, Drama",4.7,586
Aaj Ka Daur,1985,153,"Action, Drama",5.1,40
Aaj Ka Goonda Raaj,1992,147,"Action, Thriller",5.3,144
Aaj Ka Mahaatma,1976,170,"Action, Romance",3.5,23
Aaj Ka Ravan,2000,128,"Action, Crime",4.3,31
Aaj Ka Samson,1991,123,"Action, Romance",3.1,14
Aaj Kaa M.L.A. Ram Avtar,1984,157,"Action, Drama",5.8,65
Aaj Ke Angaarey,1988,128,"Action, Drama",5,26
Aaj Ke Shahenshah,1990,132,Action,3.3,15
Aaj Ki Awaz,1984,137,"Action, Drama, Crime",5.6,79
Aaja Meri Jaan,1993,162,Romance,4.4,30
Aaja Nachle,2007,137,"Drama, Family, Music",6.2,2998
Aaja Sanam,1968,121,"Drama, Romance",6.7,14
Aakhree Raasta,1986,164,"Action, Crime, Drama",7.1,1283
Aakhri Adaalat,1988,148,"Action, Thriller",5.2,78
Aakhri Baazi,1989,149,"Action, Drama, Family",4.1,53
Aakhri Badla,1989,120,"Action, Crime, Drama",5,21
Aakhri Ghulam,1989,171,"Action, Crime, Drama",4.9,34
Aakhri Kasam,1979,126,"Action, Thriller",6.3,7
Aakhri Khat,1966,153,Drama,6.9,122
Aakhri Sangam,1990,160,"Action, Romance",7.3,39
Aakhri Sanghursh,1997,138,Action,2.8,17
Aakraman,1975,139,"Drama, History, Romance",6.3,44
Aakrosh,1980,144,"Crime, Drama, Music",7.9,887
Aakrosh,2010,115,"Action, Crime, Thriller",7,3464
Aalaap,2012,116,Sci-Fi,5.4,26
Aalavandhan,2001,177,"Action, Thriller",7.2,2192
Aalwar,2007,152,Action,3,922
Aamaar Bhuvan,2018,107,"Drama, Family",7.7,72
Aamdani Atthanni Kharcha Rupaiya,2001,150,"Comedy, Drama, Family",4.8,1238
Aamir,2008,99,"Action, Crime, Drama",7.7,10862
Aamne - Saamne,1967,163,"Crime, Mystery, Romance",6.5,81
Aamne Samne,1982,143,"Action, Crime, Drama",6.4,53
Aan Aur Shaan,1984,130,Drama,6.4,37
Aan Milo Sajna,1970,177,"Drama, Musical, Romance",6.4,211
Aan: Men at Work,2004,149,"Action, Crime, Drama",5.7,2907
Aanch,2003,160,Drama,5.6,102
Aanchal,1980,138,"Action, Drama, Family",6.4,58
Aandhi,1975,133,"Drama, Romance",8.1,1406
Aandhi-Toofan,1985,144,Drama,6.1,49
Aandhiyan,1952,136,Drama,7.4,30
Aandhiyan,1990,145,Drama,4.8,38
Aani Maani,2019,94,Drama,6.6,15
Aankhen,1993,170,"Action, Comedy, Crime",6.7,1898
Aankhen,2002,165,"Crime, Drama, Thriller",7.4,12574
Aankhon Aankhon Mein,1972,154,"Drama, Romance",6.4,28
Aansoo Aur Muskan,1970,150,"Comedy, Drama, Family",6.5,24
Aao Pyaar Karen,1994,141,Romance,4.2,160
Aao Wish Karein,2009,140,"Comedy, Family, Fantasy",5.1,584
Aap Aye Bahaar Ayee,1971,119,"Comedy, Drama, Romance",6.6,80
Aap Beati,1976,145,"Drama, Family",5.7,32
Aap Ki Kasam,1974,153,"Romance, Drama",7,420
Aap Ki Khatir,1977,115,"Action, Comedy, Drama",6.3,27
Aap Ki Khatir,2006,122,"Comedy, Romance",3.6,863
Aap Ki Parchhaiyan,1964,128,"Drama, Family, Romance",6.3,39
Aap Mujhe Achche Lagne Lage,2002,180,"Action, Drama, Romance",3.1,2366
Aap To Aise Na The,1980,145,"Romance, Drama, Family",5.6,38
Aapas Ki Baat,1981,148,"Action, Romance",5.2,17
Aapko Pehle Bhi Kahin Dekha Hai,2003,145,"Action, Comedy, Drama",4.5,273
Aar Paar,1985,125,Action,6.1,44
Aar Ya Paar,1997,180,Thriller,6.1,230
Aarakshan,2011,164,"Drama, Thriller",6.2,5170
Aarop,1974,129,Drama,6.7,13
Aar-Paar,1954,146,"Musical, Romance, Thriller",6.6,250
Aarti,1962,156,"Family, Musical, Romance",6.6,67
Aarya,2007,157,"Action, Drama, Romance",4.6,191
Aarzoo,1999,175,"Drama, Romance",5.4,1445
Aasha,1957,171,"Comedy, Romance",6.5,23
Aasha,1980,123,"Drama, Musical, Romance",5.3,199
Aashayein,2010,120,Drama,7.1,1259
Aashiq,1962,150,Romance,6.7,64
Aashiq,2001,160,"Action, Drama, Romance",3.8,403
Aashiq Banaya Aapne: Love Takes Over,2005,115,"Drama, Romance, Thriller",4.3,1569
Aashiq Hoon Baharon Ka,1977,136,Romance,5.5,85
Aashiqui,1990,152,"Musical, Drama, Romance",6.3,1661
Aashiqui 2,2013,132,"Drama, Music, Musical",7,27357
Aashiqui.In,2011,109,"Drama, Romance",3.7,61
Aashirwad,1968,146,Drama,7.3,203
Aashmani Jawaharat,2014,132,Drama,6.1,10
Aasma,2018,105,"Action, Crime, Drama",5.2,8
Aasma: The Sky Is the Limit,2009,240,Drama,3.8,46
Aasmaan,1984,145,"Drama, Mystery",4.8,12
Aasmaan Mahal,1965,172,Drama,5.5,6
Aasmaan Se Gira,1992,88,"Adventure, Comedy, Romance",6.8,56
Aasoo Bane Angaarey,1993,150,Action,4.5,88
Aasra,1966,161,"Drama, Family",7.2,32
Aastha: In the Prison of Spring,1997,132,Drama,6.4,172
Aatank,1996,113,"Action, Thriller",3.9,99
Aatank Hi Aatank,1995,155,"Action, Crime, Drama",5.2,776
Aathi,2006,167,"Action, Drama, Thriller",4.4,2166
Aatish,1979,139,Action,4.5,16
Aatish: Feel the Fire,1994,155,"Action, Crime, Drama",5.8,735
Aatma,2006,107,"Crime, Drama, Horror",4.2,79
Aatma,2013,100,"Drama, Horror, Thriller",3.8,623
Aavida Maa Aavide,1998,153,"Comedy, Romance",6.4,170
Aavishkar,1974,107,"Drama, Romance",7,213
Aawaz,1956,146,Romance,5.1,7
Aaya Toofan,1964,128,"Action, Adventure, Fantasy",6.1,14
Aaya Toofan,1999,111,Action,5.4,31
Aaye Din Bahar Ke,1966,170,"Musical, Romance",6.6,109
Aazaan,2011,125,"Action, Musical, Thriller",4.4,346
Aazmayish,1995,147,"Action, Drama, Romance",5,35
Ab Ayega Mazaa,1984,128,Comedy,6.6,85
Ab Dilli Dur Nahin,1957,133,Drama,7.6,80
Ab Hoga Dharna Unlimited,2012,78,Comedy,4,6
Ab Insaf Hoga,1995,125,"Action, Drama",4.8,32
Ab Tak Chhappan,2004,129,"Action, Crime, Drama",7.8,8379
Ab Tak Chhappan 2,2015,106,"Action, Crime, Thriller",5.8,1344
Ab To Aaja Saajan Mere,1994,127,"Drama, Romance",4,6
Ab Tumhare Hawale Watan Saathiyo,2004,193,"Action, Drama, War",4.6,1494
Ab... Bas!,2004,137,"Romance, Thriller",3.2,74
ABCD (Any Body Can Dance),2013,160,"Drama, Music",6.3,6458
Abdullah,1980,136,"Action, Drama, Romance",6.4,189
Abe Hayat,1955,140,"Action, Adventure, Fantasy",4.8,21
Abhay,1995,127,Fantasy,7,64
Abhi To Jee Lein,1977,135,"Action, Drama, Thriller",5.4,10
Abhilasha,1968,141,"Drama, Romance",6.8,24
Abhimaan,1973,122,"Drama, Musical",7.9,2665
Abhimanyu,1991,140,"Crime, Drama, Musical",7,326
Abhimanyu,1989,168,"Action, Comedy, Drama",4.6,28
Abhinetri,1970,154,"Drama, Romance",6.7,70
Abodh,1984,132,Drama,5.8,109
Accident on Hill Road,2010,105,"Crime, Drama, Thriller",4,284
Achanak,1973,96,"Crime, Drama",6.8,213
Achanak,1998,160,"Action, Mystery, Thriller",4,245
Achhut Kanya,1936,142,"Drama, Musical, Romance",6.5,114
Acid Factory,2009,108,"Action, Crime, Mystery",5,677
Action,2019,158,"Action, Adventure, Thriller",4.5,858
Action Jackson,2014,144,"Action, Crime, Thriller",3.3,3461
Action Replayy,2010,129,"Comedy, Romance, Sci-Fi",4.2,5814
Ada... A Way of Life,2010,120,"Action, Crime, Drama",3.6,49
Adalat,1958,139,"Drama, Musical, Romance",6.9,36
Adalat,1976,138,"Action, Drama, Family",6.4,284
Adhi Raat Ke Baad,1965,137,"Action, Drama, Mystery",6.6,28
Adhikar,1954,126,"Comedy, Drama, Romance",6.7,13
